ADT-HURSAT SID ,ALT SID IBTrACS,ATCF ID   ,Names and sources in IBTrACS
1979273N11145  ,               ,bwp211979 ,bwp211979[jtwc_wp] = ROGER[tokyo] = ROGER[cma] = ROGER[hko] = UNNAMED[td9636] = ROGER[ds824]
1979275N06159  ,               ,bwp231979 ,bwp231979[jtwc_wp] = TIP[tokyo] = TIP[cma] = TIP[hko] = UNNAMED[td9636] = TIP[ds824]
1979277N13256  ,               ,multiple  ,HILDA[hurdat_epa] = bep111979[jtwc_ep] = UNNAMED[td9636] = bep081979[atcf] = HILDA[ds824]
1979286N17273  ,               ,bal171979 ,UNNAMED[hurdat_atl] = bal171979[atcf]
1979290N11112  ,               ,none      ,UNNAMED[cma]
1979297N12265  ,               ,multiple  ,IGNACIO[hurdat_epa] = bep121979[jtwc_ep] = UNNAMED[td9636] = bep091979[atcf] = IGNACIO[ds824]
1979297N29294  ,               ,bal181979 ,UNNAMED[hurdat_atl] = bal181979[atcf]
1979298N12283  ,               ,bal191979 ,UNNAMED[hurdat_atl] = bal191979[atcf]
1979300N04166  ,               ,bwp241979 ,bwp241979[jtwc_wp] = VERA[tokyo] = VERA[cma] = VERA(-)1[cma] = VERA[hko] = UNNAMED[td9636] = VERA[ds824]
1979300N06095  ,               ,bio061979 ,bio061979[jtwc_io] = UNNAMED[td9636] = 06B[ds824]
1979311N10142  ,               ,bwp251979 ,bwp251979[jtwc_wp] = WAYNE[tokyo] = WAYNE[cma] = WAYNE[hko] = UNNAMED[td9636] = WAYNE[ds824]
1979312N25304  ,               ,bal201979 ,UNNAMED[hurdat_atl] = bal201979[atcf]
1979317N10072  ,               ,bio071979 ,bio071979[jtwc_io] = UNNAMED[td9636] = 07A[ds824]
1979319N09272  ,               ,multiple  ,JIMENA[hurdat_epa] = bep131979[jtwc_ep] = UNNAMED[td9636] = bep101979[atcf] = JIMENA[ds824]
1979327N08088  ,               ,bio081979 ,bio081979[jtwc_io] = UNNAMED[td9636] = 08B[ds824]
1979329S07086  ,               ,bsh011980 ,bsh011980[jtwc_sh] = ALBINE[reunion] = UNNAMED[td9636] = ALBINE[neumann] = 01S[ds824]
1979333N07169  ,               ,bwp271979 ,bwp271979[jtwc_wp] = ABBY[tokyo] = ABBY[cma] = ABBY[hko] = UNNAMED[td9636] = ABBY[ds824]
